draw,subj_idx,rt_quintile,subject_mean
3,4,4,0.5789473684210527
3,4,5,0.5142857142857142
3,5,1,0.14285714285714285
3,5,2,0.3695652173913043
3,5,3,0.5308641975308642
3,5,4,0.44660194174757284
3,5,5,0.4959349593495935
3,7,1,0.5555555555555556
3,7,2,0.39655172413793105
3,7,3,0.5777777777777777
3,7,4,0.425531914893617
3,7,5,0.5094339622641509
3,8,1,0.5
3,8,2,0.5212765957446809
3,8,3,0.45121951219512196
3,8,4,0.5064935064935064
3,8,5,0.58
3,10,1,0.4339622641509434
3,10,2,0.45
3,10,3,0.34782608695652173
3,10,4,0.4375
3,10,5,0.6
3,11,1,0.4
3,11,2,0.5408163265306123
3,11,3,0.475
3,11,4,0.49333333333333335
3,11,5,0.5384615384615384
3,12,1,0.7
3,12,2,0.6056338028169014
3,12,3,0.5138888888888888
3,12,4,0.5
3,12,5,0.5185185185185185
3,13,1,0.43478260869565216
3,13,2,0.5730337078651685
3,13,3,0.4931506849315068
3,13,4,0.47435897435897434
3,13,5,0.48
3,15,1,0.4262295081967213
3,15,2,0.4777777777777778
3,15,3,0.5340909090909091
3,15,4,0.47619047619047616
3,15,5,0.4864864864864865
3,16,1,0.0
3,16,2,0.21428571428571427
3,16,3,0.34146341463414637
3,16,4,0.4523809523809524
3,16,5,0.502283105022831
3,17,1,0.4
3,17,2,0.5151515151515151
3,17,3,0.44680851063829785
3,17,4,0.6052631578947368
3,17,5,0.5531914893617021
3,19,1,0.4326923076923077
3,19,2,0.4842105263157895
3,19,3,0.5616438356164384
3,19,4,0.5254237288135594
3,19,5,0.6785714285714286
3,21,1,0.5145631067961165
3,21,2,0.4722222222222222
3,21,3,0.5892857142857143
3,21,4,0.6
3,21,5,0.4878048780487805
3,22,1,0.5408163265306123
3,22,2,0.6029411764705882
3,22,3,0.5454545454545454
3,22,4,0.4411764705882353
3,22,5,0.5714285714285714
3,23,1,0.45614035087719296
3,23,2,0.475
3,23,3,0.4838709677419355
3,23,4,0.5507246376811594
3,23,5,0.5081967213114754
3,24,1,0.5571428571428572
3,24,2,0.48484848484848486
3,24,3,0.5396825396825397
3,24,4,0.6296296296296297
3,24,5,0.6065573770491803
3,25,1,0.5392156862745098
3,25,2,0.5
3,25,3,0.0
3,25,4,1.0
3,25,5,
3,27,1,0.47468354430379744
3,27,2,0.46788990825688076
3,27,3,0.5283018867924528
3,27,4,0.5416666666666666
3,27,5,0.3333333333333333
4,1,1,0.6363636363636364
4,1,2,0.42
4,1,3,0.5138888888888888
4,1,4,0.4230769230769231
4,1,5,0.5904761904761905
4,3,1,0.5918367346938775
4,3,2,0.4838709677419355
4,3,3,0.5316455696202531
4,3,4,0.4868421052631579
4,3,5,0.5164835164835165
4,4,1,0.0
4,4,2,0.5384615384615384
4,4,3,0.6185567010309279
4,4,4,0.5471698113207547
4,4,5,0.449438202247191
4,5,1,0.6666666666666666
4,5,2,0.4918032786885246
4,5,3,0.48936170212765956
4,5,4,0.3894736842105263
4,5,5,0.46534653465346537
4,7,1,0.1111111111111111
4,7,2,0.5
4,7,3,0.4827586206896552
