draw,dwell_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
18,S>E,0.46208718694498707,0.10276912520781045,21,0.02242606168424694
18,S>>E,0.5130140977493112,0.11304196373728262,21,0.024667778834883372
19,E>>S,0.5924403075301165,0.1606705976373535,21,0.035061198839379304
19,E>S,0.494629515096013,0.1289422071023785,21,0.02813749639625343
19,S~E,0.4545936940811969,0.09245489792633134,21,0.02017531276746805
19,S>E,0.4588444297857733,0.09381523340430299,21,0.020472162305484196
19,S>>E,0.5129190451108383,0.08358524326538794,21,0.018239795440235147
20,E>>S,0.5915074908125446,0.1557657645441363,21,0.03399087650981777
20,E>S,0.493531834791401,0.13366767270193422,21,0.029168677529771238
20,S~E,0.45692454327573284,0.09890752819455458,21,0.021583392131072632
20,S>E,0.44590627804074356,0.09965818445822366,21,0.021747198757222936
20,S>>E,0.509828730364258,0.09636230924225674,21,0.021027979821113537
21,E>>S,0.6043123059024147,0.12050188629805195,21,0.026295667397418336
21,E>S,0.4811863322762156,0.12676968030154231,21,0.027663412181293808
21,S~E,0.45449096536229777,0.10375088951634985,21,0.022640300220365405
21,S>E,0.4468072799788195,0.09146463701565653,21,0.019959220120757425
21,S>>E,0.4800263706717703,0.10848096278095279,21,0.02367248682882873
22,E>>S,0.57252029207915,0.1478099987594929,21,0.03225478608508119
22,E>S,0.4834367563302773,0.13062679664415733,21,0.028505103971974022
22,S~E,0.4436263224635638,0.10353243118933131,21,0.022592628705138933
22,S>E,0.4574079537127998,0.10245392897976222,21,0.02235728022835191
22,S>>E,0.5367712336587617,0.12082968260090216,21,0.026367198415053465
23,E>>S,0.5804691795029369,0.13450697648504525,21,0.029351828630588814
23,E>S,0.4932702320974691,0.11174985070214864,21,0.02438581665441001
23,S~E,0.4388951671176992,0.09515542992782657,21,0.02076461716334912
23,S>E,0.45694468820936296,0.0910467653668493,21,0.019868033051165274
23,S>>E,0.5155403986867456,0.09516587843064109,21,0.020766897213589434
24,E>>S,0.5886817320648748,0.13043677515110802,21,0.02846363788266131
24,E>S,0.49916746322701444,0.12039468704285504,21,0.026272274602114395
24,S~E,0.4416920803388787,0.10479516082071644,21,0.02286817890123827
24,S>E,0.44592248611019936,0.09063492401297911,21,0.019778161899811787
24,S>>E,0.5011915232487211,0.09719386798262741,21,0.021209440815044524
25,E>>S,0.5764082369559368,0.13400997851305566,21,0.029243374781689677
25,E>S,0.49147575816900807,0.1287228401965787,21,0.0280896266128822
25,S~E,0.4463748689803153,0.10552534424622631,21,0.023027517987838322
25,S>E,0.45546344015458473,0.09828720636558498,21,0.021448026810287554
25,S>>E,0.5058638267547921,0.09152654766285694,21,0.01997273013157264
26,E>>S,0.589592408576609,0.15815784335729838,21,0.03451287090170421
26,E>S,0.5031360905824902,0.13163584161558553,21,0.02872529563679232
26,S~E,0.4383730296608595,0.09852663428068048,21,0.0215002742647833
26,S>E,0.44943312539779146,0.10982876138961181,21,0.023966600597673308
26,S>>E,0.5154141686564981,0.09587127000507961,21,0.020920826274753654
27,E>>S,0.5835832644894476,0.15529328865158454,21,0.033887773817357754
27,E>S,0.5024897107529188,0.12780408353871622,21,0.02788913747336318
27,S~E,0.4644215132813679,0.11952380729059692,21,0.026082233059927386
27,S>E,0.44809634940643583,0.09019132913447767,21,0.019681361561305708
