param,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.17,0.4828489697241577,0.0205420447920396,0.4397857309761078,0.4704596016514898,0.4839010196007111,0.4956464228835038,0.5241814134378664,0.0002681418594413
t_subj.19,0.4292416742414209,0.0075751144836584,0.4128981150470331,0.4246652268944413,0.429725697992321,0.4344062574129819,0.4425568326900877,0.0001164813232255
t_subj.21,0.3683164471279243,0.0087904320506216,0.3495681460340351,0.3628442978891167,0.3688297122864237,0.3743875483362923,0.3840995859607072,0.0001160564569046
t_subj.22,0.3229617110508824,0.0072470835236112,0.3089694385022997,0.3179399108875044,0.3229212426397452,0.3278975381241616,0.3369955406960576,9.125047955773728e-05
t_subj.23,0.4496821938902895,0.0104543068141612,0.4278731788000977,0.4429410353659869,0.4500888708873541,0.4568378263555148,0.4690565243623813,0.0001612826375956
t_subj.24,0.4301470924134006,0.0146711619345436,0.3926388812020016,0.4230700176169948,0.4322254464393607,0.4399220816091108,0.4527693115681194,0.0003003419121351
t_subj.25,0.2186840557204009,0.006893786467955,0.2037492947500807,0.2144122748219404,0.2192513885614441,0.223634737326486,0.2305026148006808,9.250483937283629e-05
t_subj.27,0.4356266996991146,0.0041445710195863,0.4267288517800217,0.4330560331394738,0.4359578008269677,0.4384822642034211,0.4429147218734508,4.640288382950786e-05
z,0.4566831109822022,0.0114723248291897,0.4341049848365346,0.4490302254438548,0.4567128497776149,0.4643028394749374,0.4791801282134297,0.0002255185097859
z_std,0.1901496007256634,0.0225819621638475,0.149162854656314,0.1744487919377362,0.1891197586829992,0.204496922570384,0.2382832328622575,0.0002893026358059
z_subj.1,0.3800882202852311,0.0184407658903673,0.3443768706168292,0.3676888086860926,0.3801567275147117,0.3926160649854762,0.4170835135085006,0.0004802704067878
z_subj.3,0.4511545508931189,0.01729255516249,0.4165717943247327,0.4394724388449756,0.4512931035643858,0.4624330568092321,0.4853821714626992,0.0003491599655296
z_subj.4,0.4142732872263993,0.0182194077262323,0.3777209609899948,0.4021577864998132,0.4145753027396489,0.426667043322816,0.4491545311676896,0.0003688470105098
z_subj.5,0.3909858521920576,0.0202503149677593,0.3515432289421455,0.3771593744963497,0.3907350237597827,0.4050082803224559,0.4307616296699191,0.0005595400298431
z_subj.7,0.4555813075961289,0.0168802170859456,0.4228178640567475,0.444302878831033,0.4553495499594407,0.4668290231702198,0.4896548473121994,0.0003606353996207
z_subj.8,0.5270499117928086,0.0168581692279099,0.4935341715505987,0.5155212506529832,0.5272411497723507,0.5388019607797964,0.5594895479878462,0.0003041095799289
z_subj.10,0.542175139964107,0.023191328998109,0.4983925992902167,0.5261408570780453,0.5415631407391969,0.5578196301008465,0.588669729694651,0.0004923683305506
z_subj.11,0.5118200408937778,0.0190876778619948,0.4753933175979485,0.4987733493237165,0.5119537427190558,0.524443706932412,0.5496465705067743,0.0003898506275097
z_subj.12,0.4353038562892192,0.017484698728525,0.4010464241524586,0.4235039765293455,0.4348643452808044,0.4470807947135433,0.4703719705409199,0.0003613644589605
z_subj.13,0.4345623666149088,0.0176113493804944,0.4000022666445504,0.4225607407095119,0.4344477412627679,0.4464694096561031,0.4695209879522276,0.0003805201842027
z_subj.15,0.4857116565138201,0.0171242679413424,0.4529625101706075,0.4739335426485164,0.4857938411308642,0.4976499367325145,0.519839663048328,0.000286170824257
z_subj.16,0.3761737422460636,0.0186091501522519,0.3398770705977114,0.3637738704378128,0.376174956661914,0.3886483221682015,0.4135777572594611,0.0004436585579585
z_subj.17,0.5370618430764027,0.0247605105241012,0.4873834993626764,0.5206083177546361,0.5375416346336631,0.5540540511192461,0.5851855986973767,0.0005478805948795
z_subj.19,0.376645094150692,0.0185292366566142,0.340678258818445,0.3639345576587707,0.3766012948745714,0.3891699320199303,0.4138277322211177,0.0004962163730848
z_subj.21,0.5618797511335097,0.0192156052762451,0.5245580588864216,0.5486814321432204,0.5620472113449847,0.5751896273455003,0.598981260112872,0.0004436634807229
z_subj.22,0.4687181229062003,0.019933154143849,0.4304563709800675,0.455108391553597,0.4687308345956932,0.4819923528195202,0.507502319883083,0.0004605838528516
z_subj.23,0.4677170882514994,0.0187060632682618,0.431615033013745,0.4547692687949834,0.4676711483833772,0.4803878821973761,0.5044669436796171,0.0003754943321081
z_subj.24,0.4408311864630903,0.018168008214233,0.4055882973480981,0.4288701430562803,0.4406889404426659,0.4528750527858106,0.4770988340806382,0.0004030996169978
z_subj.25,0.4697511943924621,0.0275651184437857,0.417892869145782,0.4511748161184132,0.4692599325620528,0.4879471919587058,0.5245476945570334,0.0005195779260666
z_subj.27,0.41253560780112,0.0187204588304969,0.3765580071592861,0.3997713190818202,0.4121132826530393,0.4253230242884672,0.4502365705712158,0.000408840861983
v_ES_AttentionW,0.0309155842540349,0.0028128385214781,0.0253852055338648,0.0290827862008573,0.0308964845536524,0.0327503340006692,0.0364812019226368,2.523855058250648e-05
v_ES_AttentionW_std,0.0119234141985436,0.0023139994779326,0.00826229428317,0.0102852116874632,0.0116447198108223,0.0132557495314628,0.0172169303408682,2.9711806223155182e-05
v_ES_AttentionW_subj.1,0.0321303278416941,0.002677195452979,0.0269814984562085,0.0302991137135164,0.0321310519983795,0.0339352950198116,0.0374548466584886,3.276670104480283e-05
v_ES_AttentionW_subj.3,0.0338743421834688,0.0027228145324402,0.0287083599620953,0.0320217822269844,0.0337613740304574,0.0356715078436835,0.039387533698783,3.2982645575749146e-05
v_ES_AttentionW_subj.4,0.02069442456987,0.0023053471671987,0.0162184427508661,0.0191348033297926,0.0206683724199347,0.022240029661699,0.0252501723626693,2.2962847798266467e-05
v_ES_AttentionW_subj.5,0.0265033134135375,0.0026094847175972,0.0214336346742255,0.0247402341432099,0.0264550301108799,0.02825546850683,0.0316903617447371,2.7660541790737707e-05
v_ES_AttentionW_subj.7,0.0320997926167489,0.0025712154103706,0.0271854164881967,0.0303192196821339,0.032096247488407,0.0338355549002628,0.0371827688079259,3.482199334015332e-05
v_ES_AttentionW_subj.8,0.0441347801463632,0.0030143253341554,0.0383852916859172,0.0420973151008308,0.0440765970826005,0.0461450064284865,0.0501244810451813,5.34661983466345e-05
v_ES_AttentionW_subj.10,0.0243950826542346,0.0034159409478905,0.0177829353264497,0.0220804130846982,0.0243707716177057,0.0267267182639321,0.0310964750417236,4.123500632361613e-05
v_ES_AttentionW_subj.11,0.0309101525513191,0.0027923074291667,0.025474514173047,0.0290025876386318,0.0309325714377353,0.0327691157013505,0.0364305911819923,3.2071038299866e-05
v_ES_AttentionW_subj.12,0.0252218199858255,0.0023785466228968,0.0206204411531182,0.0236045380300759,0.0251759445955026,0.0267803502298733,0.0299861246185748,3.242467644182413e-05
v_ES_AttentionW_subj.13,0.0441323918933743,0.0032546355570178,0.0377866383253565,0.0419241614764087,0.0440816495913333,0.0462918784169927,0.0505624689686889,4.045550939160656e-05
v_ES_AttentionW_subj.15,0.0235465629304832,0.0026550760078381,0.0183663224956734,0.0217389018081791,0.0235272611228734,0.0253517457761411,0.0288211533573673,2.667993865813077e-05
v_ES_AttentionW_subj.16,0.0235024781177943,0.0020645188803988,0.0195048971555074,0.022124805169402,0.0234859099863594,0.0248853553561764,0.0275606649555003,2.846517051294497e-05
v_ES_AttentionW_subj.17,0.0213449089904646,0.0031083494005984,0.0153220171172355,0.01924460189766,0.0213311587335225,0.02342538409689,0.0275498935573147,3.873535478735096e-05
v_ES_AttentionW_subj.19,0.0484259076367837,0.0033329325406575,0.0419747601406528,0.0461360011250825,0.0484263157737767,0.0506588873153182,0.0550053886499486,4.573384697908406e-05
